Master_SKU,Master_Name,Product_Family,Status,Haha_AI_Name,Nayax_Name,Cantaloupe_Name
SKU0198,Lenny & Larry’s - Chocolate Chip,Lenny & Larry's Variety,Mapped,Lenny&Larry’s Chocolatechip,,
SKU0199,Liquid IV Lemon Lime .56oz,Liquid IV,Mapped,Liquid IV Lemon Lime .56oz,,
SKU0200,Liquid IV Passiom Fruit .56oz,Liquid IV,Mapped,Liquid IV Passiom Fruit .56oz,,
SKU0201,Lorna Doodle,Lorna Doodle,Mapped,Lorna Doodle,,
SKU0202,Lunchable Ham/Cheddar 1.9oz,Lunchable Variety,Mapped,Lunchable Ham/Cheddar 1.9oz,,
SKU0203,Lunchables Turkey and Cheddar 1.9 0z,Lunchable Variety,Mapped,Lunchables Turkey and Cheddar 1.9 0z,,
SKU0204,Lara Bar -  Peanut Butter Chocolate Chip,Lara Variety,Mapped,Lärabar Peanut Butter Chocolate Chip,,
SKU0205,M&M Peanuts,M&M Peanuts,Mapped,m&m Peanut,M&Ms Peanut,M&M Peanuts
SKU0207,M&M’s Peanut Butter Ice Cream Sandwich,M&M’s Peanut Butter Ice Cream Sandwich,Mapped,M&M’s Peanut Butter Ice Cream Sandwich,,
SKU0208,Marie Callenders - Chicken Pot Pie,Marie Callenders - Chicken Pot Pie,Mapped,Marie callenders,,
SKU0209,Michael Angelo's - Chicken Parmigiana,Michael Angelo's - Chicken Parmigiana,Mapped,Michael Angelo's Chicken Parmigiana 10oz,,
SKU0211,Miss Vickie's - Smokehouse BBQ,Miss Vickies Variety,Mapped,Miss Vickie's smokehousebbq,Miss Vickie's Potato Chips,
SKU0212,Miss Vickie’s - Sea Salt & Vinegar,Miss Vickies Variety,Mapped,Miss Vickie’s (Sea Salt & Vinegar) 38.9g,,
SKU0213,Miss Vickie’s - Jalapeño,Miss Vickies Variety,Mapped,Miss Vickie’s Jalapeño 1.375 oz,,
SKU0214,Miss Vickie’s - Sea Salt,Miss Vickies Variety,Mapped,Miss Vickie’s Sea Salt 1.375 oz,,
SKU0215,Miss Vickie’s - Spicy Dill Pickle,Miss Vickies Variety,Mapped,Miss Vickie’s Spicy Dill Pickle,,
SKU0216,Monster Ultra 16oz,Monster Ultra 16oz,Mapped,Monster Ultra,Monster White,
SKU0218,Monster Original 16oz,Monster Original 16oz,Mapped,Monster green 16oz,,
SKU0219,Moon Pie - Chocolate Double Decker,Moon Pie - Chocolate Double Decker,Mapped,Moon Pie Chocolate Double Decker 2.75 oz,,
SKU0220,Mountain Dew 12oz,Mountain Dew 12oz,Mapped,,Mountain Dew,
SKU0221,Munchies,Munchies,Mapped,Munchies 49.6g,Munchies,Munchies
SKU0224,Nature Valley Protein Bar,Nature Valley Protein Bar,Mapped,,,Nature Valley Protein Bar
SKU0225,Nature's Bakery Fig Bar - Raspberry,Nature's Bakery Variety,Mapped,Nature's Bakery Fig Bar - Raspberry,,
SKU0226,Nature's Bakery Fig Bar - Blueberry,Nature's Bakery Variety,Mapped,Nature’s Bakery FIG BAR Blueberry 2 OZ,,
SKU0227,Nutri Grain,Nutri Grain Variety,Mapped,,Nutri Grain,
SKU0228,Nutri Grain Blueberry,Nutri Grain Variety,Mapped,Nutri Grain Blueberry,,
SKU0229,Nutter Butter,Nutter Butter,Mapped,NUTTER BUTTER56g,Nutter Butter,Nutter Butter
SKU0230,Oreo Cookies,Oreo Cookies,Mapped,OREO COOKIES 68g,,
